hhidde,Sample,Sample_Type,read_count,r1_average_quality,r2_average_quality,unfiltered_closed_otu_count,filtered_closed_otu_count,unfiltered_de_novo_otu_count,filtered_de_novo_otu_count,unfiltered_swarm_otu_count,filtered_swarm_otu_count,sex,age
231,Z08151754,Cooking Area - Inside,254513,31.1,26.7,988,309,18630,2313,13786,1350,,
231,Z08151755,Living Space,20490,30.764,27.156,93,59,1764,1121,381,257,,
232,H08143740,Human,43716,33.5,27.5,920,341,3158,984,2379,796,Female,20.36961
232,Z08151898,Cow,17921,30.4,27,216,126,1865,1413,747,571,Female,5
232,Z08151901,Cooking Area - Inside,143639,32.7,27.6,872,164,6954,1131,3440,583,,
233,H08143747,Human,21977,30.4,26.4,740,367,2671,1544,1544,1085,Female,58.64476
233,Z08151926,Cow,325232,31,26.6,361,237,14594,2306,14587,1805,Female,4
234,H08143892,Human,240229,31.4,27.4,1380,273,7966,951,3621,805,Male,34.33265
234,Z08151779,Cow,48429,31.4,27.4,327,209,7770,2815,4096,1692,Female,1 year 10 months
235,H08143754,Human,24489,30.4,26.6,753,374,2555,1359,1737,1182,Female,37.48665
235,H08143980,Human,38307,30.1,27.2,1064,477,4608,1922,2947,1657,Female,58.77618
237,H08143889,Human,59164,30.3,27.3,1267,438,4736,1427,3204,1369,Female,47.54004
237,Z08151789,Chicken,16017,30.7,25.4,,,1117,909,,,Female,Adult
237,Z08151793,Cow,113532,30.2,27.3,717,411,12306,3030,8341,2673,Female,6
238,H08143916,Human,51817,31.7,27.4,547,212,3953,1237,1381,542,,
239,H08143911,Human,76212,30.8,27.5,791,291,8531,1911,2136,829,Male,24.21355
239,Z08151704,Cooking Area - Inside,24573,32.7,27.6,417,168,2721,1383,1754,929,,
239,Z08151707,Cow,37597,33.1,27.4,410,191,6112,2126,3683,1463,Female,6
240,H08143910,Human,77177,30.9,26.6,656,316,4052,1237,3436,1139,,
240,Z08151712,Cow,102116,31.1,26.8,489,194,12065,2703,8902,1694,Female,5
240,Z08151714,Cooking Area - Inside,29080,32.6,26.1,,,989,412,1293,578,,
241,H08143912,Human,236415,31.1,26.7,1041,392,8912,1422,6817,1283,Female,44.68172
241,Z08151701,Cow,10711,33.3,26.1,,,2482,2078,1537,1337,Male,5
